"CpG.site","Coefficient","Panel","Training.cohort","Short_name","Name","SeqId","UniProt","Predictor","chr","pos","UCSC_RefGene_Name","GencodeCompV12_NAME"
"cg24275356",0.00669215572688239,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr6",32942541,"BRD2","BRD2"
"cg22056870",0.0176943689216282,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr19",5784688,"PRR22","PRR22"
"cg12780322",-0.00370374477187835,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr4",57334163,"SRP72","SRP72"
"cg08506874",-0.00200875206450156,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr19",459731,"SHC2",""
"cg15501552",-0.015203152818609,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr19",47153327,"DACT3","DACT3"
"cg06690548",-0.0531864416379043,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr4",139162808,"SLC7A11",""
"cg07830750",-0.00376075621568202,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr16",854640,"PRR25","PRR25"
"cg21775675",-0.00605972361732053,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr5",87441487,"",""
"cg20479870",-0.00057879079344483,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr15",99192677,"IGF1R","IGF1R"
"cg03618918",0.00220671967718594,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr1",160865097,"",""
"cg04802386",0.0033397295848493,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr4",103998345,"NHEDC2","SLC9B2"
"cg06538684",0.00289151118791917,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr12",12511223,"LOH12CR2, LOH12CR1","AC007621.1, LOH12CR1"
"cg25969108",-0.00386208572353927,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr19",35605636,"FXYD3","FXYD3"
"cg01661567",0.00773255764980921,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr4",1843351,"LETM1","LETM1"
"cg13495369",-0.000861718962539051,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr2",223160569,"PAX3",""
"cg09739536",-0.0131331967724861,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr5",178339445,"ZFP2","ZFP2, RP11-281O15.3"
"cg11024682",0.0108514376612731,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr17",17730094,"SREBF1",""
"cg17681818",-0.00522145208248338,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr16",70835134,"VAC14","VAC14"
"cg10802936",-0.00777877226830071,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr10",43599476,"RET","RET"
"cg17169998",0.00743579143081856,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr22",50524124,"MLC1","MLC1"
"cg21964662",-0.00471906560568097,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr13",79234715,"RNF219","RNF219"
"cg04887675",0.00423977131213127,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr13",110956761,"COL4A1","COL4A2"
"cg14687145",0.00726348528269348,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr2",29234537,"FAM179A","FAM179A"
"cg04788926",0.0195274579475616,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr18",76617198,"",""
"cg27214652",0.0138761009646084,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr14",64009971,"PPP2R5E","PPP2R5E, CTD-2302E22.4"
"cg12012524",-0.00404502064492022,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr19",1268008,"CIRBP, C19orf23","CIRBP"
"cg24079790",0.0164925354453862,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr11",107993467,"ACAT1","ACAT1, RP11-144G7.2"
"cg02068690",0.0161259259478893,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr2",25600451,"DTNB","DTNB"
"cg03448754",0.0030691413497179,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr10",77542302,"C10orf11","C10orf11"
"cg08519643",0.000302388386440302,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr4",84030854,"PLAC8","PLAC8"
"cg21461082",0.0018328694318651,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr21",48081619,"PRMT2","PRMT2"
"cg08252804",-0.0117681050794063,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr2",202788592,"",""
"cg09686672",0.00665106921545988,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr12",57589253,"LRP1",""
"cg10988359",-0.0107835600125872,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr8",140042087,"",""
"cg06911873",-0.0232639618542242,"SomaScan","KORA","MMP-9","Matrix metalloproteinase-9","2579-17","P14780","MMP-9","chr19",37342585,"ZNF345","ZNF790, ZNF345, CTD-2525J15.2"
"cg22960869",0.00488628118229605,"SomaScan","KORA","MMP-9","Matrix metalloproteinase-9","2579-17","P14780","MMP-9","chr17",47287521,"ABI3, GNGT2","GNGT2, ABI3"
"cg26275825",-0.00100061237291004,"SomaScan","KORA","MMP-9","Matrix metalloproteinase-9","2579-17","P14780","MMP-9","chr10",135008417,"KNDC1","KNDC1"
"cg05575921",-0.135780803040283,"SomaScan","KORA","MMP-9","Matrix metalloproteinase-9","2579-17","P14780","MMP-9","chr5",373378,"AHRR","AHRR"
"cg23404573",0.00710517235471409,"SomaScan","KORA","MMP-9","Matrix metalloproteinase-9","2579-17","P14780","MMP-9","chr19",7991114,"CTXN1","CTXN1"
"cg09214398",-0.00653358075351721,"SomaScan","KORA","MMP-9","Matrix metalloproteinase-9","2579-17","P14780","MMP-9","chr15",78556534,"DNAJA4","DNAJA4, RP11-762H8.3"
"cg18264657",0.000633331478481642,"SomaScan","KORA","MMP-9","Matrix metalloproteinase-9","2579-17","P14780","MMP-9","chr18",4455862,"",""
"cg25572477",0.0101915739906473,"SomaScan","KORA","MMP-9","Matrix metalloproteinase-9","2579-17","P14780","MMP-9","chr3",171757506,"FNDC3B","FNDC3B"
"cg18155888",0.00312529116903493,"SomaScan","KORA","MMP-9","Matrix metalloproteinase-9","2579-17","P14780","MMP-9","chr1",2266591,"MORN1",""
"cg11880727",-0.000996088914042861,"SomaScan","KORA","MMP-9","Matrix metalloproteinase-9","2579-17","P14780","MMP-9","chr14",63512265,"KCNH5","KCNH5"
"cg14661803",0.0236856920791585,"SomaScan","KORA","MMP-9","Matrix metalloproteinase-9","2579-17","P14780","MMP-9","chr2",207958145,"KLF7","KLF7"
"cg04744134",0.0220046453389285,"SomaScan","KORA","MMP-9","Matrix metalloproteinase-9","2579-17","P14780","MMP-9","chr19",8408128,"KANK3","KANK3"
"cg11589287",-0.00914109670378801,"SomaScan","KORA","MMP-9","Matrix metalloproteinase-9","2579-17","P14780","MMP-9","chr8",1905343,"ARHGEF10","ARHGEF10"
"cg25063864",-0.000940963908385463,"SomaScan","KORA","MMP-9","Matrix metalloproteinase-9","2579-17","P14780","MMP-9","chr18",77489374,"CTDP1",""
"cg26494929",-0.00099741527950769,"SomaScan","KORA","MMP-9","Matrix metalloproteinase-9","2579-17","P14780","MMP-9","chr16",3017495,"KREMEN2",""
"cg21655280",0.00260833973730299,"SomaScan","KORA","MMP-9","Matrix metalloproteinase-9","2579-17","P14780","MMP-9","chr3",13521164,"HDAC11","HDAC11-AS1, HDAC11"
"cg01977863",-0.00636914901789146,"SomaScan","KORA","MMP-9","Matrix metalloproteinase-9","2579-17","P14780","MMP-9","chr17",79167836,"AZI1","AZI1"
"cg12339424",0.00236997910351677,"SomaScan","KORA","MMP-9","Matrix metalloproteinase-9","2579-17","P14780","MMP-9","chr2",32288911,"SPAST","SPAST"
"cg08543966",0.00442344044395351,"SomaScan","KORA","MMP-9","Matrix metalloproteinase-9","2579-17","P14780","MMP-9","chr19",35646150,"FXYD5","FXYD5"
"cg13939431",0.0107350942057332,"SomaScan","KORA","MMP-9","Matrix metalloproteinase-9","2579-17","P14780","MMP-9","chr1",37980360,"MEAF6","MEAF6"
"cg05796331",-0.00199050150746663,"SomaScan","KORA","MMP-9","Matrix metalloproteinase-9","2579-17","P14780","MMP-9","chr10",133768294,"PPP2R2D","PPP2R2D"
"cg09793807",0.00713790465465183,"SomaScan","KORA","MMP-9","Matrix metalloproteinase-9","2579-17","P14780","MMP-9","chr17",46125678,"NFE2L1","NFE2L1"
"cg16655837",0.00471676394460888,"SomaScan","KORA","MMP-9","Matrix metalloproteinase-9","2579-17","P14780","MMP-9","chr10",32636197,"EPC1","EPC1, RP11-135A24.2, AL391839.1"
"cg06567525",0.000880001225482902,"SomaScan","KORA","MMP-9","Matrix metalloproteinase-9","2579-17","P14780","MMP-9","chr20",13201551,"ISM1","ISM1"
"cg24731241",0.000691101679619983,"SomaScan","KORA","MMP-9","Matrix metalloproteinase-9","2579-17","P14780","MMP-9","chr20",2276663,"TGM3","TGM3"
"cg14246204",0.0271037398693337,"SomaScan","KORA","MMP-9","Matrix metalloproteinase-9","2579-17","P14780","MMP-9","chr20",33735151,"EDEM2","EDEM2"
"cg09364988",-0.0175753401281199,"SomaScan","KORA","MMP-9","Matrix metalloproteinase-9","2579-17","P14780","MMP-9","chr2",68971510,"ARHGAP25","ARHGAP25"
"cg03888365",-0.00150915546462312,"SomaScan","KORA","MMP-9","Matrix metalloproteinase-9","2579-17","P14780","MMP-9","chr8",123792680,"ZHX2","ZHX2"
"cg03286535",-0.000177443926029711,"SomaScan","KORA","MMP-9","Matrix metalloproteinase-9","2579-17","P14780","MMP-9","chr15",90649835,"","CTD-2315E11.1"
"cg25458871",-0.00603825661889308,"SomaScan","KORA","MMP-9","Matrix metalloproteinase-9","2579-17","P14780","MMP-9","chr19",57352584,"PEG3, ZIM2, MIMT1","PEG3, ZIM2"
"cg00882611",-0.00569630492310201,"SomaScan","KORA","MMP-9","Matrix metalloproteinase-9","2579-17","P14780","MMP-9","chr14",21689119,"HNRNPC","HNRNPC"
"cg11441148",-0.00169532885213004,"SomaScan","KORA","MMP-9","Matrix metalloproteinase-9","2579-17","P14780","MMP-9","chr15",65824328,"PTPLAD1","PTPLAD1"
"cg00834923",0.017582768512957,"SomaScan","KORA","MMP-9","Matrix metalloproteinase-9","2579-17","P14780","MMP-9","chr16",85393998,"",""
"cg14778264",-0.00621355756623937,"SomaScan","KORA","MMP-9","Matrix metalloproteinase-9","2579-17","P14780","MMP-9","chr8",2179411,"",""
"cg17254383",-0.0285227426101283,"SomaScan","KORA","MMP-9","Matrix metalloproteinase-9","2579-17","P14780","MMP-9","chr17",53363128,"HLF","HLF"
"cg17098449",-0.000882132806359664,"SomaScan","KORA","MMP-9","Matrix metalloproteinase-9","2579-17","P14780","MMP-9","chr22",31364349,"TUG1, MORC2","MORC2, MTMR3"
"cg25940557",0.00220210272248398,"SomaScan","KORA","MMP-9","Matrix metalloproteinase-9","2579-17","P14780","MMP-9","chr1",158575177,"OR10Z1","OR10Z1"
"cg27606607",0.00217440067814185,"SomaScan","KORA","MMP-9","Matrix metalloproteinase-9","2579-17","P14780","MMP-9","chr3",183963511,"ALG3","ALG3"
"cg25462896",0.00694613364690549,"SomaScan","KORA","MMP-9","Matrix metalloproteinase-9","2579-17","P14780","MMP-9","chr11",119031003,"ABCG4","ABCG4"
"cg20572153",0.0157601441206889,"SomaScan","KORA","MMP-9","Matrix metalloproteinase-9","2579-17","P14780","MMP-9","chr17",9929755,"GAS7","GAS7"
"cg13824385",-0.00718951782560272,"SomaScan","KORA","MMP-9","Matrix metalloproteinase-9","2579-17","P14780","MMP-9","chr9",132584750,"TOR1A","TOR1A"
"cg18118795",0.00243363803102527,"SomaScan","KORA","MMP-9","Matrix metalloproteinase-9","2579-17","P14780","MMP-9","chr1",33117735,"RBBP4","ZBTB8OS, RBBP4"
"cg05332152",-0.00249713195124629,"SomaScan","KORA","MMP-9","Matrix metalloproteinase-9","2579-17","P14780","MMP-9","chr1",213123025,"VASH2","VASH2"
"cg03880323",0.0125522716750834,"SomaScan","KORA","MMP-9","Matrix metalloproteinase-9","2579-17","P14780","MMP-9","chr15",31507807,"","RP11-16E12.1"
"cg08530237",-0.00344511090955135,"SomaScan","KORA","MMP-9","Matrix metalloproteinase-9","2579-17","P14780","MMP-9","chr12",22094563,"","ABCC9"
"cg16204414",-0.0024328022213693,"SomaScan","KORA","MMP-9","Matrix metalloproteinase-9","2579-17","P14780","MMP-9","chr3",10325494,"C3orf42","GHRLOS2, TATDN2"
"cg22660120",-0.0144050580165154,"SomaScan","KORA","MMP-9","Matrix metalloproteinase-9","2579-17","P14780","MMP-9","chr6",33424102,"ZBTB9","ZBTB9"
"cg15035973",-0.0121141765434718,"SomaScan","KORA","MMP-9","Matrix metalloproteinase-9","2579-17","P14780","MMP-9","chr2",208485495,"FAM119A","METTL21A"
"cg18133477",-0.00231289440739023,"SomaScan","KORA","MMP-9","Matrix metalloproteinase-9","2579-17","P14780","MMP-9","chr20",33293445,"TP53INP2","TP53INP2, RP11-346K17.4"
"cg26824709",-0.00738451637523981,"SomaScan","KORA","MMP-9","Matrix metalloproteinase-9","2579-17","P14780","MMP-9","chr5",159740383,"CCNJL","CCNJL"
"cg03323598",0.00864120952087474,"SomaScan","KORA","MMP-9","Matrix metalloproteinase-9","2579-17","P14780","MMP-9","chr5",1292446,"TERT",""
"cg21337717",0.00529065856860969,"SomaScan","KORA","MMP-9","Matrix metalloproteinase-9","2579-17","P14780","MMP-9","chr12",117308650,"HRK","HRK"
"cg00042837",-0.013390373745096,"SomaScan","KORA","MMP-9","Matrix metalloproteinase-9","2579-17","P14780","MMP-9","chr17",37028650,"LASP1","LASP1"
"cg00720829",0.00344615652160894,"SomaScan","KORA","MMP-9","Matrix metalloproteinase-9","2579-17","P14780","MMP-9","chr6",30131219,"TRIM15","TRIM15"
"cg18260374",-0.000171133807296789,"SomaScan","KORA","MMP-9","Matrix metalloproteinase-9","2579-17","P14780","MMP-9","chr2",6633591,"",""
"cg26294955",-0.000690679779028058,"SomaScan","KORA","MMP-9","Matrix metalloproteinase-9","2579-17","P14780","MMP-9","chr5",152502171,"","AC091969.1"
"cg06240124",-0.0018879230004297,"SomaScan","KORA","MMP-9","Matrix metalloproteinase-9","2579-17","P14780","MMP-9","chr16",23690079,"PLK1","PLK1"
"cg06021750",-0.0037841672483124,"SomaScan","KORA","MMP-9","Matrix metalloproteinase-9","2579-17","P14780","MMP-9","chr12",47022795,"",""
"cg18397975",-0.0223333754231885,"SomaScan","KORA","MMP-9","Matrix metalloproteinase-9","2579-17","P14780","MMP-9","chr5",33997484,"AMACR","AMACR, C1QTNF3"
"cg07048504",0.00930100910339671,"SomaScan","KORA","MMP-9","Matrix metalloproteinase-9","2579-17","P14780","MMP-9","chr1",55829278,"",""
"cg20732304",-0.00368164835683529,"SomaScan","KORA","MMP-9","Matrix metalloproteinase-9","2579-17","P14780","MMP-9","chr13",113752657,"MCF2L","MCF2L"
"cg09737685",-0.00132326145529181,"SomaScan","KORA","MMP-9","Matrix metalloproteinase-9","2579-17","P14780","MMP-9","chr17",22052189,"",""
"cg25379156",-0.00212522301110192,"SomaScan","KORA","MMP-9","Matrix metalloproteinase-9","2579-17","P14780","MMP-9","chr8",47348070,"",""
"cg25645272",-0.00427369434783623,"SomaScan","KORA","MMP-9","Matrix metalloproteinase-9","2579-17","P14780","MMP-9","chr5",14387224,"TRIO","TRIO"
"cg00474031",-0.000223683761914853,"SomaScan","KORA","MMP-9","Matrix metalloproteinase-9","2579-17","P14780","MMP-9","chr8",133494101,"KCNQ3","KCNQ3"
"cg10917153",-0.00727082254885814,"SomaScan","KORA","MMP-9","Matrix metalloproteinase-9","2579-17","P14780","MMP-9","chr15",42448786,"PLA2G4F","PLA2G4F"
"cg18524540",0.00853092212376476,"SomaScan","KORA","MMP-9","Matrix metalloproteinase-9","2579-17","P14780","MMP-9","chr22",19466782,"UFD1L, CDC45L","CDC45, UFD1L"
"cg15934248",0.00829672839045364,"SomaScan","KORA","MMP-9","Matrix metalloproteinase-9","2579-17","P14780","MMP-9","chr2",86332749,"POLR1A, PTCD3","PTCD3, POLR1A"
