"CpG_Site","Coefficient","Mean_Beta_Value","Predictor"
"cg18928584",0.0155892415463485,-3.23756820332894e-17,"CRTAM"
"cg19380578",0.00040129829235451,-1.64367386487869e-16,"CRTAM"
"cg19533231",0.0095270226960563,6.39637683570488e-16,"CRTAM"
"cg20009327",0.0022719216194839,1.5347914507851e-16,"CRTAM"
"cg20688340",0.00811622458692841,1.55859916180282e-15,"CRTAM"
"cg20794824",0.00752448171640495,-7.54374587835255e-16,"CRTAM"
"cg21245653",0.00321384269664522,-2.13078418046017e-16,"CRTAM"
"cg22108864",0.00214009108631684,2.75577547900642e-16,"CRTAM"
"cg22281363",0.0189837451710329,8.88929682735224e-16,"CRTAM"
"cg23558337",-0.00268468077022956,1.5812919759017e-17,"CRTAM"
"cg23613857",0.0231805282896381,-1.99851017168196e-16,"CRTAM"
"cg24670927",-0.0367132345595452,-3.03667857499675e-16,"CRTAM"
"cg24822696",0.0221369597706932,-1.84768935672473e-17,"CRTAM"
"cg25223623",-0.00243825264618079,-1.58733340840391e-16,"CRTAM"
"cg25942860",-0.00306033109165815,-4.17755305850834e-17,"CRTAM"
"cg26248608",-0.00402047664400826,-8.34075502735396e-19,"CRTAM"
"cg26999501",0.00601243738733053,-3.30465743591859e-16,"CRTAM"
"cg27589058",0.00206230858268432,1.02583646743241e-16,"CRTAM"
"cg27612129",0.011479030687274,5.49468593215131e-16,"CRTAM"
"ch.3.3302591F",-0.0337630439395159,2.21423837753398e-16,"CRTAM"
"cg00977903",-0.0247968139703182,2.86827757922163e-16,"EZR"
"cg01588250",-0.0152522507313068,7.21385279621979e-17,"EZR"
"cg01725872",0.0033448578251563,8.1779074003375e-16,"EZR"
"cg02119577",0.00371241070865133,5.21580486937341e-16,"EZR"
"cg04614997",0.00305210142904057,-3.61533625950802e-17,"EZR"
"cg05219445",0.00960042828751874,1.36310550287176e-16,"EZR"
"cg05673287",-0.00284114299753803,2.31573298465878e-16,"EZR"
"cg06502279",0.0139525629339891,-1.64756652116485e-16,"EZR"
"cg06732873",-0.00130626430426135,-5.71963715103082e-16,"EZR"
"cg07420163",0.00312807148358215,-1.40758313094628e-16,"EZR"
"cg07936672",0.0117187975198973,-1.02238729168255e-16,"EZR"
"cg08115430",0.00752987003720312,1.78800525568711e-16,"EZR"
"cg08684580",0.0111845190544539,-9.02154492124142e-17,"EZR"
"cg09649610",0.0162172306322936,-5.91555140861096e-17,"EZR"
"cg09777883",0.00201736055427807,-7.25060970698245e-16,"EZR"
"cg13916298",0.0129281287802451,-5.14335835735216e-16,"EZR"
"cg16813053",-0.0159439206443384,7.36529556851392e-17,"EZR"
"cg17444090",0.0223384420951887,-7.78763531421661e-18,"EZR"
"cg17459092",-0.00280484776896446,-2.34693220751461e-16,"EZR"
"cg17470198",-0.0137587056886125,-1.57414702983562e-15,"EZR"
"cg18338311",0.00234554757564526,1.61051629225071e-17,"EZR"
"cg18468572",-0.00257605894495906,5.1325654779354e-16,"EZR"
"cg19716090",0.0105841224994611,4.79531871010441e-16,"EZR"
"cg21422770",0.014825383155698,-1.44013069588064e-16,"EZR"
"cg21463262",-0.00524321114374545,-2.86183536576188e-17,"EZR"
"cg21814995",-0.0114573272992645,-2.33432797333519e-16,"EZR"
"cg24442435",-0.000741173824312857,9.79307044815009e-16,"EZR"
"cg24897320",0.0158078115933668,-5.56900292327467e-16,"EZR"
"cg26099045",-0.0107838797052765,7.78271340492084e-17,"EZR"
"cg27036111",0.0293157234871472,2.60113077820006e-16,"EZR"
"cg27186774",0.0277315946141777,2.54264605661953e-17,"EZR"
"cg27527593",0.00929092194362783,5.41393129866667e-17,"EZR"
"cg00221745",0.0301763519606942,4.60189304972047e-17,"FcRL2"
"cg00427260",-0.00541664831799944,-1.11496617877521e-15,"FcRL2"
"cg00671386",-0.00621270471027236,4.16690914171302e-16,"FcRL2"
"cg01829024",0.00303833920581573,1.84544723891761e-16,"FcRL2"
"cg02262056",0.00401777801130027,-3.01347543914408e-17,"FcRL2"
"cg03345093",0.0028151955731445,1.12313363038165e-16,"FcRL2"
"cg03358468",0.00648061659080753,-7.90885673079891e-16,"FcRL2"
"cg03839161",0.00281519081551533,-6.78214376233815e-16,"FcRL2"
"cg04060561",-0.00787356121221993,5.32016393556652e-16,"FcRL2"
"cg04265672",-0.000497604031243644,-7.83094715620872e-16,"FcRL2"
"cg05206840",-0.00563919794581578,-2.74106580406427e-17,"FcRL2"
"cg05475010",-0.0257700859255112,6.33518026495816e-16,"FcRL2"
"cg06008724",0.000731606090562855,4.83911986359398e-17,"FcRL2"
"cg06346307",-0.0309477081119671,5.90839813138796e-16,"FcRL2"
"cg06536988",-0.00206849481752252,-1.49594752762526e-17,"FcRL2"
"cg06593910",-0.0104138216285258,-1.01204529294262e-15,"FcRL2"
"cg07698804",-0.00334709227338881,-5.57474182344262e-16,"FcRL2"
"cg08613384",-0.00991269256559194,-1.05251736219775e-15,"FcRL2"
"cg11523191",-0.0400919416914933,1.04111811276994e-15,"FcRL2"
"cg11663376",0.00328832487071035,-3.41171126664735e-16,"FcRL2"
"cg13010273",0.0109131160827525,7.88951346169918e-17,"FcRL2"
"cg14002345",0.0108906895568559,3.72170056222623e-17,"FcRL2"
"cg14653250",0.00229333741231749,-3.92386357142088e-17,"FcRL2"
"cg15810285",-0.0172664563824115,-9.23635669983222e-16,"FcRL2"
"cg16411857",-0.00707747805756091,-2.68880603079277e-17,"FcRL2"
"cg17276590",0.0064805579249459,-9.59343085328496e-17,"FcRL2"
"cg18092363",-0.00903393748640935,-6.4506727514062e-17,"FcRL2"
"cg19016062",-0.0148776416964687,6.79671138529594e-16,"FcRL2"
"cg19172447",-0.005243188906576,-5.76785468151778e-16,"FcRL2"
"cg19577080",-0.0157629802863875,-9.46225966700691e-16,"FcRL2"
"cg19764940",-0.000148882435139827,4.47001505883917e-17,"FcRL2"
"cg20608215",-0.00165448497417999,3.15166399344929e-16,"FcRL2"
"cg20908276",-0.0151417791627184,-5.76763152552884e-16,"FcRL2"
"cg21549285",-0.000297783048453807,1.16549372407857e-16,"FcRL2"
"cg25291978",-0.00381283276361107,5.43703595794101e-16,"FcRL2"
"cg26312951",-0.0111494991019016,-1.4232318846823e-16,"FcRL2"
"cg27540367",0.0503886594000241,-1.35900403976671e-16,"FcRL2"
"ch.17.1457304R",-0.0057565411092392,-7.83933839727916e-17,"FcRL2"
"cg00645731",-0.00360086442205242,-5.68171234260218e-16,"G.CSF"
"cg00771084",0.0187012666296052,1.81594649708553e-17,"G.CSF"
"cg00826902",0.0256133170982023,5.17453300905394e-16,"G.CSF"
"cg00833822",0.00556740349879957,3.24571200519961e-16,"G.CSF"
"cg01059398",-0.00270951633990916,-3.04582873839172e-17,"G.CSF"
"cg01427471",0.00775502482468608,7.18980992198121e-16,"G.CSF"
"cg01427567",0.00025301835116736,7.84802660378176e-18,"G.CSF"
"cg01540522",0.00267850173530564,4.73209098794355e-16,"G.CSF"
"cg02152233",0.00805889790672018,-3.20410920214902e-17,"G.CSF"
"cg02270108",0.00168684347217435,4.37834929725892e-18,"G.CSF"
"cg02914097",-0.0171277968996781,2.90318051962632e-16,"G.CSF"
"cg03454353",0.00376970953872948,-2.15829177938203e-16,"G.CSF"
"cg03954144",0.000115000496247226,3.09511386632597e-16,"G.CSF"
"cg04251872",-0.0232890486877489,-2.22152482849231e-16,"G.CSF"
"cg05060440",0.0128511530155762,-1.58416219383424e-16,"G.CSF"
"cg05195050",0.00236430707437138,2.89201715327739e-16,"G.CSF"
"cg05370136",0.0235338662160188,-3.32951422963509e-17,"G.CSF"
"cg05409752",0.00581871822726653,-1.16847163277223e-15,"G.CSF"
"cg05675372",-0.004198477688314,-1.26386491520682e-15,"G.CSF"
"cg06490943",0.00749591628110619,2.7956093509275e-16,"G.CSF"
"cg06622267",-0.0125172209739819,8.25258297674028e-16,"G.CSF"
"cg07118895",0.00628918096664479,-3.56232130717374e-16,"G.CSF"
"cg07631533",0.00788681538719407,3.20888675591474e-16,"G.CSF"
"cg08156120",0.00184044830759714,-4.55615384645516e-16,"G.CSF"
"cg08176258",-0.028917845358312,1.05064150815569e-15,"G.CSF"
"cg08205639",0.0126676567654547,-2.13243601468366e-16,"G.CSF"
"cg08220028",0.000289114192407336,-2.95357838610507e-16,"G.CSF"
"cg08456760",5.02479792372815e-05,-1.77225591378919e-17,"G.CSF"
"cg08629043",-0.0189053905606534,7.82766786695366e-16,"G.CSF"
"cg08846592",-0.000859870732438948,9.41301710667744e-16,"G.CSF"
"cg09102017",0.00440415561752719,4.51614356132647e-17,"G.CSF"
"cg09349128",-0.137474310480957,1.31941645527255e-16,"G.CSF"
"cg09827499",0.0133430935088866,4.70566778315631e-17,"G.CSF"
"cg09866743",0.00877635579669338,6.19635170887478e-17,"G.CSF"
"cg10576051",-0.00586047640823922,2.9096392778231e-17,"G.CSF"
"cg10636246",-0.0229904657481852,-1.97177925158267e-16,"G.CSF"
"cg10806197",0.0213140894666754,2.25480036185596e-16,"G.CSF"
"cg11779808",0.000836833011456956,2.28457676132254e-16,"G.CSF"
"cg11935041",-0.0150216890077965,3.03881597745595e-16,"G.CSF"
"cg12054453",-0.0722859467051187,7.62398374975356e-17,"G.CSF"
"cg13174197",-0.00186601998428875,-2.06605013137872e-17,"G.CSF"
"cg13219409",-0.00188394473089468,-7.25353904925443e-17,"G.CSF"
"cg13488220",0.0122334421231801,1.86539809458847e-15,"G.CSF"
"cg13565928",0.0190015173803072,3.42543387226036e-17,"G.CSF"
"cg14010379",0.000748783937479041,-4.17527638751583e-16,"G.CSF"
"cg14594969",0.000249300220257268,-3.6931289171567e-17,"G.CSF"
"cg14786285",0.0156876185435724,2.02952626265525e-16,"G.CSF"
"cg14972576",0.0214552346487024,-1.98798757495976e-16,"G.CSF"
"cg15475977",-0.0227866290171227,-7.31160682906466e-16,"G.CSF"
"cg15722533",0.00314502504723431,6.06957108068616e-16,"G.CSF"
"cg16020069",0.010942103066043,1.86666251081894e-16,"G.CSF"
"cg16468389",0.000985921996564365,-2.39644922571521e-16,"G.CSF"
"cg16725225",0.0128717971804415,-1.85479948085843e-15,"G.CSF"
"cg16781502",-0.0119699233704253,9.32558300652438e-16,"G.CSF"
"cg18576206",0.000746562040192852,3.65048836677175e-16,"G.CSF"
"cg18784113",0.00151826763238098,-1.94879435748812e-15,"G.CSF"
"cg18963763",-0.00256756015243993,-9.7629641377489e-17,"G.CSF"
"cg19347782",0.015192938897497,2.68986719750833e-16,"G.CSF"
"cg19471466",0.0375926965887402,1.64820997826155e-17,"G.CSF"
"cg19746397",0.0154190254916234,-3.35167817843735e-17,"G.CSF"
"cg19816354",0.00253321791926673,3.62728129569518e-16,"G.CSF"
"cg21455437",0.0015381337548063,-2.19456801694358e-16,"G.CSF"
"cg21511817",0.00010883266666437,3.8352192939403e-17,"G.CSF"
"cg21636432",0.00540195974206698,1.26007020760312e-16,"G.CSF"
"cg22306691",-0.00673738874057861,-1.66611620677597e-17,"G.CSF"
"cg23175074",0.0157784187792348,1.24998374886533e-16,"G.CSF"
"cg23213170",0.00493879218729577,1.04859473102327e-16,"G.CSF"
"cg23413527",-0.000379945222295153,-1.20152528669517e-15,"G.CSF"
"cg23676798",0.0131856882965241,3.95595426645961e-16,"G.CSF"
"cg24133905",0.00719597343675651,-9.87481356668464e-16,"G.CSF"
"cg24505395",0.00250378380100761,1.29834592282555e-16,"G.CSF"
"cg24998981",-0.00221645989349253,2.50802990765353e-16,"G.CSF"
"cg25477268",0.000442433058498488,2.61747289918944e-17,"G.CSF"
"cg26145268",0.00101853292130966,7.06626078447453e-17,"G.CSF"
"cg26191422",0.00485210504644081,1.1859129289811e-16,"G.CSF"
"cg26822870",0.00231046837737728,7.37432278015757e-16,"G.CSF"
"cg26982386",0.00416070408941595,-2.41389320939405e-17,"G.CSF"
"cg27395839",0.00491335719771937,1.29977104976048e-16,"G.CSF"
"cg27469606",-0.0254247985063314,1.39825309902518e-15,"G.CSF"
"cg00517855",0.00587180353437443,8.36663785871422e-16,"GDF.8"
"cg01554970",0.00402053590320791,-7.08371743765468e-16,"GDF.8"
"cg01569083",0.0180399938944901,-3.43587507703477e-16,"GDF.8"
"cg03606774",0.0182180507591146,-2.96766098671949e-16,"GDF.8"
"cg07260003",0.0131339766797797,-6.35619498441266e-16,"GDF.8"
"cg07626482",0.00490134191215805,-1.30611655029407e-16,"GDF.8"
"cg09775263",-0.0130785034597456,-1.12688994555715e-16,"GDF.8"
"cg11353706",0.00048700600110438,6.75708886369212e-16,"GDF.8"
"cg13408955",0.0152222268289679,-1.58375995636395e-15,"GDF.8"
"cg14836555",0.0168888631424621,-4.25477174935537e-16,"GDF.8"
"cg15604051",-0.00725992657228512,-2.72735049301262e-16,"GDF.8"
"cg16504397",0.00957880758041417,-2.16360845882082e-16,"GDF.8"
"cg16708465",0.00108698141469086,9.44723095098639e-16,"GDF.8"
"cg17092523",0.0288451984889895,1.55998417824839e-16,"GDF.8"
"cg18218257",-0.000378327491671804,9.07739822579284e-17,"GDF.8"
"cg19495614",0.00743861210106801,1.85863119876292e-17,"GDF.8"
"cg19843353",0.00424974926464285,-4.37243686331548e-18,"GDF.8"
"cg19886448",-0.0063555574858238,-3.58850187181472e-17,"GDF.8"
"cg20970369",0.00358629821318717,4.30857950533206e-16,"GDF.8"
"cg21161138",0.0410866028862099,9.68949945853167e-16,"GDF.8"
"cg21799270",0.00122790026984503,5.83294626008689e-17,"GDF.8"
"cg22974158",-0.00234647537446146,4.75370438932536e-17,"GDF.8"
"cg23151649",0.0245737824244669,7.68637451697957e-16,"GDF.8"
"cg23712594",0.00265757681011212,-4.40945177119567e-16,"GDF.8"
"cg23928339",0.00199081934881434,-2.6388226885611e-17,"GDF.8"
"cg24088496",0.0225728455753742,3.86131731486064e-16,"GDF.8"
"cg24870967",0.0132052248021478,8.88063626339795e-15,"GDF.8"
"cg26205698",0.00122402198730404,-1.31217333976756e-16,"GDF.8"
"cg26730763",0.0194904411650651,-3.93308927191834e-17,"GDF.8"
"cg00564524",-0.00228585241867484,-1.09590708323046e-15,"GZMA"
"cg01576275",0.00332358598188655,7.8832938883301e-17,"GZMA"
"cg04602992",0.000381883386041301,-1.58896105539762e-16,"GZMA"
"cg11497957",0.00144444320440662,3.10818272087247e-17,"GZMA"
"cg12738197",0.0223536300571295,-6.50715569178016e-17,"GZMA"
"cg14049634",-0.00443136131518974,3.01739300251803e-16,"GZMA"
"cg15914463",0.0189858885112342,-3.03059846212313e-16,"GZMA"
"cg17906105",0.00170668683287904,-5.91863624021716e-17,"GZMA"
"cg18352710",-0.0343485730933805,5.59124135338764e-16,"GZMA"
"cg20460771",-0.046164270346218,8.20158669828098e-16,"GZMA"
"cg20875807",0.0193125939519833,1.34909461811347e-16,"GZMA"
"cg25334660",0.0214012878858411,-1.7905088259303e-16,"GZMA"
"cg26568031",-0.0053428592345688,9.35973921420049e-16,"GZMA"
"cg00169354",-0.0103066480681768,-2.8666919719368e-16,"N.CDase"
"cg00184732",0.0183292180602736,-1.35896987050561e-16,"N.CDase"
"cg01256260",0.0275301277495118,1.90050198096237e-16,"N.CDase"
"cg01358993",0.00813576541025322,4.08655148593602e-16,"N.CDase"
"cg01997599",0.0023942514140227,-1.43690880330575e-16,"N.CDase"
"cg02021641",0.000455440650347872,6.53323950750206e-16,"N.CDase"
"cg02828514",-0.0255963445554084,-2.10514053392763e-16,"N.CDase"
"cg02872767",0.0105028094661618,1.59386012119861e-16,"N.CDase"
"cg03032497",-0.0103057091769936,2.69338855102322e-16,"N.CDase"
"cg03244277",0.00545101815180636,-2.3840200610084e-17,"N.CDase"
"cg03403093",0.017045723954413,-1.53399557574843e-16,"N.CDase"
"cg03429569",0.00759396170485411,-7.57221539956307e-18,"N.CDase"
"cg03510477",0.00593640847698005,-2.48808734474716e-16,"N.CDase"
"cg03607951",0.0122949902987032,5.99063240905558e-16,"N.CDase"
"cg04207142",-0.00479328648300089,2.4860556174466e-16,"N.CDase"
"cg05595088",0.036698935640162,-4.7132894480034e-16,"N.CDase"
"cg06500161",0.00697637426247238,-7.96550436269223e-16,"N.CDase"
"cg08151370",0.00451895711629273,-2.49601922041414e-16,"N.CDase"
"cg08230268",0.0030376062601444,2.31616989049175e-16,"N.CDase"
"cg08325929",0.024116361570624,9.6297116979379e-17,"N.CDase"
"cg08360771",0.0156088106997457,3.87924465921057e-16,"N.CDase"
"cg08977014",0.000213122691532203,-1.57845581205297e-15,"N.CDase"
"cg08981702",0.000598980444897836,-8.52667803941825e-17,"N.CDase"
"cg09123721",-0.000658769842268483,-6.31456545063393e-16,"N.CDase"
"cg09744397",0.00653184241261526,-4.83047312091384e-16,"N.CDase"
"cg09792343",-0.0103514509403327,8.5392945591747e-16,"N.CDase"
"cg10304824",0.0287562083226641,-2.78016772434165e-16,"N.CDase"
"cg10460470",-0.0124890737867454,-3.86122325341154e-16,"N.CDase"
"cg10706389",-0.00133875161457499,3.29939460186036e-16,"N.CDase"
"cg13941982",0.0114646813386568,-1.16292182971034e-15,"N.CDase"
"cg14574843",-0.00877747795942961,2.93530653569899e-16,"N.CDase"
"cg14733855",0.0159089165835844,7.51769815151316e-18,"N.CDase"
"cg14836555",0.0167869841350168,-4.25477174935537e-16,"N.CDase"
"cg16435686",-0.120908679354027,-1.34356759615866e-16,"N.CDase"
"cg16696476",0.00909300594237529,2.53724040272838e-16,"N.CDase"
"cg16857610",-0.0120630610588691,3.67463144524793e-17,"N.CDase"
"cg17638213",0.000672333786433011,5.33939201538401e-16,"N.CDase"
"cg18160150",-0.0164354695322457,-1.47346607344175e-16,"N.CDase"
"cg18438850",-0.0106319166231876,2.52683183151795e-16,"N.CDase"
"cg19045239",0.00410925775378741,-3.54773832724467e-16,"N.CDase"
"cg19750657",0.000425577253846644,5.70720030783836e-16,"N.CDase"
"cg21865751",0.00317076608644944,5.32564215114698e-17,"N.CDase"
"cg22645355",0.128602126054188,-9.82027635457207e-17,"N.CDase"
"cg22850451",0.00356380542761539,-2.52010547809658e-16,"N.CDase"
"cg24147543",0.000826415514334143,2.72801237847486e-18,"N.CDase"
"cg24545602",-0.021896799624732,9.85966084312102e-16,"N.CDase"
"cg25651505",-0.0289532208263317,-1.40070339977424e-16,"N.CDase"
"cg26498247",-0.00449083138526549,-1.86235219290446e-16,"N.CDase"
"cg26852894",-0.00937268799719814,7.44005340069413e-16,"N.CDase"
"cg26855208",0.0159526416929732,-4.74159925671259e-17,"N.CDase"
"cg00238213",0.00794439621505508,-3.21063591494372e-17,"NEP"
"cg00783409",-0.0125490627033658,-1.0700021954202e-15,"NEP"
"cg01301319",-0.00110120657584847,-6.51416806879165e-16,"NEP"
"cg01369228",-0.000209168475415488,-1.31109205541961e-15,"NEP"
"cg02720725",0.00350565629857337,3.51457187636766e-16,"NEP"
"cg04987734",0.00311317483786643,-2.17498634286233e-16,"NEP"
"cg05393861",-0.0299396185450564,2.62220284634419e-17,"NEP"
"cg06690548",-0.106497413058529,-4.32525487259826e-16,"NEP"
"cg07066815",-0.012896192195813,1.28207444390406e-16,"NEP"
"cg08288561",0.00471044745326853,1.41115036341287e-16,"NEP"
"cg10284440",0.0135981760508824,6.0883019785584e-17,"NEP"
"cg11645453",0.066051327607964,-3.38460582841093e-16,"NEP"
"cg12103569",0.00968481595964548,-1.71417584840194e-17,"NEP"
"cg13150925",0.0249643956321123,3.44282909755539e-16,"NEP"
"cg13599477",0.00532099157555911,8.06815726937596e-17,"NEP"
"cg14753432",-0.00178357591773574,2.4320681849059e-16,"NEP"
"cg16035267",-0.00994919337592937,-3.23348017757376e-16,"NEP"
"cg17343451",0.0319779686172611,-1.14425714437958e-16,"NEP"
"cg18404041",-0.0309131596021257,4.29098963042604e-16,"NEP"
"cg19404184",-0.00423327027455004,-1.00873993522882e-17,"NEP"
"cg19548470",-0.000289206564362564,2.19813505744803e-16,"NEP"
"cg20556803",0.00879609942773185,5.47947677171823e-17,"NEP"
"cg20735041",-0.00229776750757894,5.45100149164348e-16,"NEP"
"cg22101147",0.0096427388744207,9.49060825206858e-18,"NEP"
"cg22339091",0.00226404010739239,1.31220175016443e-16,"NEP"
"cg22940798",-0.0285627925044554,-6.15502571523154e-16,"NEP"
"cg23635663",-0.00884283779257536,2.73016542584855e-16,"NEP"
"cg24101283",0.0342203497629036,3.70575849033874e-16,"NEP"
"cg24204878",-0.00584111036364196,8.36750687132662e-16,"NEP"
"cg26034658",0.00226316301774166,-1.89446592340012e-16,"NEP"
"cg26663590",0.0343148119383891,2.65169475791778e-16,"NEP"
"cg26688212",-0.00586388587660753,-1.42040541732122e-15,"NEP"
"cg26955383",0.00406302415044764,2.84965801939118e-16,"NEP"
"cg27243685",0.0262455180588907,9.09004929873467e-16,"NEP"
"cg00224465",-0.0049165464430538,-6.17986791982533e-16,"NMNAT1"
"cg00977903",-0.0326004271270882,2.86827757922163e-16,"NMNAT1"
"cg01758899",-0.00891946931240237,1.82881333547387e-16,"NMNAT1"
"cg02119577",0.0369408673771876,5.21580486937341e-16,"NMNAT1"
"cg02413092",0.00286186645618264,-9.96887808717909e-17,"NMNAT1"
"cg02883668",0.00680292745059776,1.7036446133834e-16,"NMNAT1"
"cg03809021",0.00523347461552637,-1.36267781122157e-16,"NMNAT1"
"cg04845319",-0.00426485572280196,-5.84362549791616e-16,"NMNAT1"
"cg05070372",-0.00465648871687031,-7.34968463131969e-16,"NMNAT1"
"cg05211480",-0.000377907871965494,5.0422710938906e-16,"NMNAT1"
"cg05219445",0.0113111539904486,1.36310550287176e-16,"NMNAT1"
"cg05552874",0.00224262091581089,3.9179008433965e-16,"NMNAT1"
"cg08115430",0.0436027899961689,1.78800525568711e-16,"NMNAT1"
"cg09516523",-0.000368991329593792,-4.09170528549814e-16,"NMNAT1"
"cg09629169",-0.00577766579722993,-1.37338622729627e-16,"NMNAT1"
"cg09768983",0.00392823564098797,-1.46798363469419e-16,"NMNAT1"
"cg10373741",-0.0148297035886564,-4.79665169521166e-16,"NMNAT1"
"cg10391823",0.00332317860542336,1.66798553410523e-16,"NMNAT1"
"cg11896633",0.00446609852413444,-1.3067016508999e-16,"NMNAT1"
"cg12936779",-0.00411788604357388,-8.68736494057538e-16,"NMNAT1"
"cg13671721",-0.00539352683742038,-2.02065185287586e-15,"NMNAT1"
"cg13765237",-0.00477748329870993,-1.55300204007316e-15,"NMNAT1"
"cg13799206",0.00873050920142651,-7.2627110003524e-17,"NMNAT1"
"cg15931233",-0.00640255373444692,2.04154462838028e-16,"NMNAT1"
"cg16210842",-0.0250661917267763,1.55628775526089e-16,"NMNAT1"
"cg16931664",-0.00598191648394587,6.99105846395679e-16,"NMNAT1"
"cg17470198",-0.0166337054723656,-1.57414702983562e-15,"NMNAT1"
"cg18338311",0.00567483979955487,1.61051629225071e-17,"NMNAT1"
"cg18645035",-0.00104999124549033,-1.92069163873643e-15,"NMNAT1"
"cg19046253",-0.0057850125316142,-2.35039059744724e-16,"NMNAT1"
"cg19463531",-0.00840507360585689,-8.79031807604766e-16,"NMNAT1"
"cg19856444",-0.000495456223591399,4.84676840314081e-16,"NMNAT1"
"cg20288518",0.0064461503374947,2.00945969220578e-17,"NMNAT1"
"cg20572816",0.00312700228298666,-5.43956208373577e-17,"NMNAT1"
"cg20855557",0.00561168201030474,-1.5721718545818e-16,"NMNAT1"
"cg21422770",0.0311520965701246,-1.44013069588064e-16,"NMNAT1"
"cg21463262",-0.00428300108958495,-2.86183536576188e-17,"NMNAT1"
"cg21990700",0.00414946282089401,-2.71079337442529e-16,"NMNAT1"
"cg22788646",-0.0177883114572189,6.42665905541306e-16,"NMNAT1"
"cg23367351",-0.000913186655623174,1.12834202397668e-15,"NMNAT1"
"cg25109663",0.0116246041513959,2.23643572774878e-16,"NMNAT1"
"cg26099045",-0.00131009926695546,7.78271340492084e-17,"NMNAT1"
"cg26115667",-0.0276955878195685,-8.39477701308004e-17,"NMNAT1"
"cg26673980",0.0493616413664688,-1.15240172369692e-15,"NMNAT1"
"cg00022024",0.00210259555368294,3.74936768168728e-16,"NTRK3"
"cg00145732",0.00239219671135537,2.68963530724198e-17,"NTRK3"
"cg00251270",-0.0205576287821943,-1.60233194797586e-15,"NTRK3"
"cg00372132",0.0125554449929617,8.51459287086814e-16,"NTRK3"
"cg00501711",-0.00298561417002354,-6.0463252332571e-16,"NTRK3"
"cg00532122",-0.000398118349645822,-7.89452751282264e-17,"NTRK3"
"cg00596207",0.000164512083263886,-3.56515198090523e-16,"NTRK3"
"cg00678361",-0.015914502852011,-1.48594054121384e-18,"NTRK3"
